Comment_number,User_number,Date_of_comment,Proof_of_payment,Platform_ID,Platform,Nested_comment,Rating,Comment,comment_clean,date,time_of_comment,year,month,month_year,week_day,week_day_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113167,7734,2015-03-07 11:37:53,0,1407,Youpifun,0,1,"Bonjour,<br />
<br />
J'ai gagné deux smartphones WIKO qui, d'après la photo qui était sur le site, c'étais censé êtres des tactiles comme ceux-ci http://img1.lesnumeriques.com/news/33/33881/wiko-rainbow_opt.png et voilà ce que j'ai reçu : http://media.ldlc.com/ld/products/00/01/24/92/LD0001249245_2.jpg<br />
<br />
on m'explique comment une telle arnaque est possible ? je gagne un ""beau"" lot et on m'envoi un truc premier prix à 20&euro; là franchement c'est abusé !! ne parlons pas des dizaines de  stylos et des  ""sticker miroir"" une HONTE<br />
<br />
SVP pour les modérateurs de NBR, je serai reconnaissant si vous pouviez laisser les liens vers les photos afin que les gens voient l'arnaque, par avance merci.","Bonjour,  J'ai gagné deux smartphones WIKO qui, d'après la photo qui était sur le site, c'étais censé êtres des tactiles comme ceux-ci http://img1.lesnumeriques.com/news/33/33881/wiko-rainbow_opt.png et voilà ce que j'ai reçu : http://media.ldlc.com/ld/products/00/01/24/92/LD0001249245_2.jpg  on m'explique comment une telle arnaque est possible ? je gagne un ""beau"" lot et on m'envoi un truc premier prix à 20€ là franchement c'est abusé !! ne parlons pas des dizaines de  stylos et des  ""sticker miroir"" une HONTE  SVP pour les modérateurs de NBR, je serai reconnaissant si vous pouviez laisser les liens vers les photos afin que les gens voient l'arnaque, par avance merci.",2015-03-07,2020-05-09 11:37:53,2015,3,2015-03,5,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70621,29099,2014-05-06 00:03:42,0,1805,8chances,0,1,"Serieux, je rafraichis à 0Oh00min00sec, je confirme ma demande à 00h00min01sec et à 00h00min02sec on me dit que le lot es épuisé ???<br />
Vous prenez pas un peu les gens pour des imbéciles ?<br />
<br />
----<br />
EDIT<br />
----<br />
<br />
Essai à 16h00 et à minuit : ça ne bouge même pas, même pas la possibilité de confirmer la demande.<br />
Vous allez nous dire que les stocks du mois sont épuisés dès le 6 ???<span class=editCom> | Edit. : 07/05/2014 0:02:21</span>","Serieux, je rafraichis à 0Oh00min00sec, je confirme ma demande à 00h00min01sec et à 00h00min02sec on me dit que le lot es épuisé ??? Vous prenez pas un peu les gens pour des imbéciles ?  ---- EDIT ----  Essai à 16h00 et à minuit : ça ne bouge même pas, même pas la possibilité de confirmer la demande. Vous allez nous dire que les stocks du mois sont épuisés dès le 6 ??? | Edit. : 07/05/2014 0:02:21",2014-05-06,2020-05-09 00:03:42,2014,5,2014-05,1,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77198,31215,2014-07-25 17:42:21,0,397,SurfActif PTP,0,1,"bonjour <br />
<br />
 je suis nouveau  inscrit  et je consulte souvent les avis ---je donne le mien  : <br />
  suite  aux  nombreux non  paiement de surfactif  ( 28,75 euros pour moi depuis  9 mois  )   et apres un peu de recherche   il me semble que le nouveau site  de boris ( webamaster  surfactif ) et de son  collégue  est  :   http://my-link.pro----------------------------<br />
<br />
ben moi    je me suis pas inscrit ....","bonjour    je suis nouveau  inscrit  et je consulte souvent les avis ---je donne le mien  :    suite  aux  nombreux non  paiement de surfactif  ( 28,75 euros pour moi depuis  9 mois  )   et apres un peu de recherche   il me semble que le nouveau site  de boris ( webamaster  surfactif ) et de son  collégue  est  :   http://my-link.pro----------------------------  ben moi    je me suis pas inscrit ....",2014-07-25,2020-05-09 17:42:21,2014,7,2014-07,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77201,31216,2014-07-25 18:38:25,0,11748,clixx,0,1,"Mon compte a été suspendu un ou deux jours après mon inscription, j'ai voulu les contacter pour savoir pourquoi mais la page de contact est inaccessible.","Mon compte a été suspendu un ou deux jours après mon inscription, j'ai voulu les contacter pour savoir pourquoi mais la page de contact est inaccessible.",2014-07-25,2020-05-09 18:38:25,2014,7,2014-07,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376901,73389,2018-04-05 11:28:05,0,15761,Ulike,0,1,"L'application payais ses membres, et très bien surtout pour les parrains.<br />
Maintenant l'application refuse toute mes demandes de codes, malgré qu'ils m'ont contactés dans le passé pour établir un partenariat.<br />
Après contact avec le support, aucune réponse, ils ferment mes tickets pour ne pas y répondre et qu'ils n'apparaissent plus dans leur panel.<br />
Sois l'application est en train de fermer, sois cela leur dérange d'avoir des parrains qui ont amassé un énorme nombre de points... <br />
En tout cas, ce n'est pas honnête.<br />
A voir si l'application va connaitre le même sort que swiper.","L'application payais ses membres, et très bien surtout pour les parrains. Maintenant l'application refuse toute mes demandes de codes, malgré qu'ils m'ont contactés dans le passé pour établir un partenariat. Après contact avec le support, aucune réponse, ils ferment mes tickets pour ne pas y répondre et qu'ils n'apparaissent plus dans leur panel. Sois l'application est en train de fermer, sois cela leur dérange d'avoir des parrains qui ont amassé un énorme nombre de points...  En tout cas, ce n'est pas honnête. A voir si l'application va connaitre le même sort que swiper.",2018-04-05,2020-05-09 11:28:05,2018,4,2018-04,3,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74530,7534,2014-06-22 15:57:32,0,8978,GainDuNet,0,1,"Quelqu'un a t il des nouvelles? Voilà, plus de 2 mois 1/2 qu'aucun paiement n'est effectué, le PTP ne fonctionne plus,...<br />
<br />
Le webmaster ne donne plus signe de vie.<br />
<br />
Pour ma part, j'ai finalement arrêté ce site même si j'ai plus de 130&euro; en attente de paiement. Je crois que je vais m'assoir dessus malheureusement. Le webmaster nous demande tous les jours de répondre à un mail après avoir cliquer sur tous les liens des mails envoyés et suivi la procédure. Par contre, si nous lui posons une question, il se passe parfois plusieurs semaine avant qu'il nous réponde.<br />
Nous lui faisons gagner de l'argent mais aucun retour.<br />
<br />
Encore un scam, après 20$, sioniam, adprudence, bonplaninternet, websyndic, un nouveau qui tombe. Pour ma part, vu le temps passé, j'arrête ce type de site et me consacre à des activités plus lucratives.","Quelqu'un a t il des nouvelles? Voilà, plus de 2 mois 1/2 qu'aucun paiement n'est effectué, le PTP ne fonctionne plus,...  Le webmaster ne donne plus signe de vie.  Pour ma part, j'ai finalement arrêté ce site même si j'ai plus de 130€ en attente de paiement. Je crois que je vais m'assoir dessus malheureusement. Le webmaster nous demande tous les jours de répondre à un mail après avoir cliquer sur tous les liens des mails envoyés et suivi la procédure. Par contre, si nous lui posons une question, il se passe parfois plusieurs semaine avant qu'il nous réponde. Nous lui faisons gagner de l'argent mais aucun retour.  Encore un scam, après 20$, sioniam, adprudence, bonplaninternet, websyndic, un nouveau qui tombe. Pour ma part, vu le temps passé, j'arrête ce type de site et me consacre à des activités plus lucratives.",2014-06-22,2020-05-09 15:57:32,2014,6,2014-06,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73260,29956,2014-06-04 16:52:46,0,2873,Globobux,0,1,"arnaque, arnaque, arnaque et toujours arnaque + vols.<br />
<br />
il n'a pas honte, il continue de promouvoir le site pour voler<br />
l'argent des innocents.     ","arnaque, arnaque, arnaque et toujours arnaque + vols.  il n'a pas honte, il continue de promouvoir le site pour voler l'argent des innocents.     ",2014-06-04,2020-05-09 16:52:46,2014,6,2014-06,2,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73261,29466,2014-06-04 16:52:59,0,10344,AppTrailers,0,1,j ai contacter le service client plusieur foi mais apparament il ne comprene pas car il me dise de desinstaller la pli et de la reinstaller mais sa ne fonctionne pas sur plusieur appareille ios et android je pense que j ai etait banni  gros arnaque dsl pour l orthographe<span class=editCom> | Edit. : 04/06/2014 16:53:15</span>,j ai contacter le service client plusieur foi mais apparament il ne comprene pas car il me dise de desinstaller la pli et de la reinstaller mais sa ne fonctionne pas sur plusieur appareille ios et android je pense que j ai etait banni  gros arnaque dsl pour l orthographe | Edit. : 04/06/2014 16:53:15,2014-06-04,2020-05-09 16:52:59,2014,6,2014-06,2,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61639,27368,2014-01-01 12:59:28,0,10400,likenation,0,1,"NE PAYE PAS ! ILS M'ONT BAN ALORS QUE JE DEMANDAIS MON PAYEMENT PAYPAL DE 1$ **** j'avais pas screen m*****<br />
Ca marche pour les likes ectt... mais pas la paye -.-<br />
edit : Souvent des mecs likes puis delikes : gare a vous, même pour les abonnés<span class=editCom> | Edit. : 01/01/2014 13:00:38</span>","NE PAYE PAS ! ILS M'ONT BAN ALORS QUE JE DEMANDAIS MON PAYEMENT PAYPAL DE 1$ **** j'avais pas screen m***** Ca marche pour les likes ectt... mais pas la paye -.- edit : Souvent des mecs likes puis delikes : gare a vous, même pour les abonnés | Edit. : 01/01/2014 13:00:38",2014-01-01,2020-05-09 12:59:28,2014,1,2014-01,2,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61811,26480,2014-01-03 00:01:46,0,10581,hirenclix,0,1,Une grosse ARNAQUE!!!!!!!!!!!!!!!,Une grosse ARNAQUE!!!!!!!!!!!!!!!,2014-01-03,2020-05-09 00:01:46,2014,1,2014-01,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
